"x","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39"
2.85e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00134,0.0140971,-0.00377892,-0.00262656,5.00168,5.01945,0.701424,4.99745,4.99792,8.97349e-05,4.9998,0.00167493,-0.000311332,-0.000286183,4.99997,4.9843,5.06228,0.00711788,0.00386817,4.88631,0.00789182,0.0010226,5.00333,4.79798,0.00898528,5.00334,4.80513,0.219703,0.11838,1.98861,3.94432,1.55765,1.57418
2.86e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00127,0.0161498,1.95244e-05,0.000813059,5.00141,5.01998,1.03581,4.99802,4.99846,5.21578e-05,4.9998,0.00151731,-0.000269006,-0.000247579,5.00003,4.98983,5.03069,0.00497657,0.0027004,4.92109,0.00574566,0.000948072,5.00232,4.87419,0.00586075,5.00234,4.88509,0.104992,0.0571226,2.02217,3.89105,1.55117,1.56632
2.87e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00073,0.0139876,0.00218952,0.00264455,5.00092,5.01953,1.3601,4.99843,4.99881,3.84527e-05,5.00006,0.00138594,-0.000221396,-0.000214281,5.00005,4.99335,4.87169,0.00349368,0.00189442,4.94464,0.00386872,0.000882573,5.00163,4.92339,0.00375478,5.00164,4.93208,0.0622333,0.0333451,2.05383,3.88174,1.54527,1.55922
2.88e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00039,0.0122447,0.00325486,0.00350796,5.00055,5.01874,1.6678,4.99873,4.99905,2.93033e-05,5.00002,0.00126945,-0.000210054,-0.000203435,5.00002,4.9957,4.57056,0.00250021,0.00135552,4.96046,0.00258612,0.000826996,5.00117,4.95249,0.00245443,5.00118,4.95861,0.0448317,0.0237133,2.08376,3.89292,1.53988,1.55282
2.89e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00018,0.0106994,0.00386497,0.00399494,5.0003,5.01766,1.95731,4.99895,4.99924,2.10067e-05,5.00001,0.00116695,-0.0001923,-0.000186896,5.00001,4.99741,4.11523,0.00176179,0.000954715,4.97218,0.00167126,0.000776391,5.00082,4.97174,0.00156038,5.00083,4.97579,0.0355782,0.0185096,2.11184,3.91442,1.53485,1.54687
2.9e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00006,0.009397,0.00422837,0.0043049,5.00016,5.0164,2.22701,4.99912,4.99938,1.59954e-05,5.0,0.0010762,-0.000175122,-0.000171033,5.00001,4.99864,3.38264,0.00121843,0.000659981,4.98079,0.00104169,0.000729719,5.00057,4.98408,0.000962344,5.00058,4.98655,0.0311867,0.0159617,2.13793,3.94564,1.53012,1.54132
2.91e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00001,0.00822236,0.00446883,0.00451658,5.0001,5.01509,2.47544,4.99925,4.99949,1.13917e-05,5.0,0.000996366,-0.000161039,-0.00015779,5.00001,4.99946,2.19691,0.000838368,0.000453435,4.98679,0.000641093,0.000686499,5.00039,4.99124,0.000590953,5.0004,4.99268,0.0293529,0.0148663,2.16191,3.98708,1.5257,1.53618
2.92e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99985,0.00686509,0.00447065,0.00444739,5.00001,5.01326,2.69099,4.99931,4.99955,5.49738e-06,4.99992,0.000928387,-0.0001428,-0.000145259,4.99993,4.99994,0.715839,0.000582711,0.000313993,4.99076,0.000401246,0.000647333,5.00027,4.99478,0.000375107,5.00028,4.99571,0.0274615,0.0138683,2.18267,4.0355,1.5216,1.53143
2.93e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00026,0.00797431,0.00486647,0.00503842,5.00016,5.01423,2.92327,4.99962,4.9997,2.77217e-05,4.99998,0.000864414,-0.000126123,-0.000128069,4.99999,5.00047,0.172818,0.000423458,0.000231347,4.99361,0.000277928,0.000610108,5.00019,4.99729,0.000250243,5.00019,4.99771,0.0288739,0.0144081,2.20502,4.09134,1.51773,1.52698
2.94e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00018,0.00751269,0.00547838,0.00559516,5.0002,5.01455,3.16648,4.99973,4.9998,6.51259e-06,4.99999,0.000808258,-0.000127893,-0.000122647,5.0,5.00073,0.102162,0.000294608,0.000159665,4.99555,0.000171775,0.000575631,5.00013,4.99868,0.00015882,5.00013,4.99881,0.0307845,0.0153797,2.22837,4.16315,1.51411,1.52282
2.95e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00003,0.00671173,0.00565398,0.00568213,5.00009,5.01361,3.3877,4.99972,4.99982,-6.65468e-06,5.00002,0.000759574,-8.14516e-05,-9.89398e-05,5.00021,5.00086,0.0627162,0.000201251,0.000108122,4.99686,0.000102266,0.000545069,5.00009,4.9992,0.000100203,5.00009,4.99929,0.0304909,0.0152551,2.24958,4.24088,1.51071,1.51895
2.96e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99981,0.00595243,0.00559092,0.00556459,4.99993,5.01245,3.59067,4.99971,4.99982,2.09837e-06,5.00014,0.000713865,-0.000120166,-0.000114926,4.99997,5.00092,0.0363388,0.000133748,7.10528e-05,4.99783,5.89376e-05,0.000515485,5.00006,4.99941,6.18122e-05,5.00007,4.99954,0.029245,0.0146487,2.26901,4.31918,1.50746,1.51527
2.97e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99985,0.00524633,0.00538752,0.0053176,4.99975,5.01122,3.77344,4.9997,4.99982,-6.617e-06,4.99999,0.000666712,-0.000154909,-0.000132195,4.99981,5.00094,0.020289,8.6227e-05,4.50233e-05,4.99853,3.29258e-05,0.000488514,5.00004,4.99947,3.7372e-05,5.00004,4.99965,0.0273602,0.0137192,2.28648,4.39527,1.50438,1.5118
2.98e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99987,0.00459528,0.00507015,0.00496654,4.99984,5.01002,3.93584,4.99969,4.99982,-4.80187e-06,4.99987,0.000632716,-0.000112733,-0.000107872,5.0,5.00091,0.0119414,5.44252e-05,2.77892e-05,4.99902,1.80463e-05,0.000465316,5.00003,4.99946,2.23009e-05,5.00003,4.9997,0.0251006,0.0125973,2.302,4.46693,1.50146,1.50851
2.99e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99985,0.00401688,0.00466305,0.00454337,4.99991,5.00888,4.08066,4.9997,4.99982,1.55031e-06,4.99993,0.000601262,-8.40377e-05,-8.91015e-05,5.00009,5.00087,0.00826608,3.30514e-05,1.62765e-05,4.99936,1.0057e-05,0.000443215,5.00002,4.99943,1.32569e-05,5.00002,4.99971,0.022697,0.0113996,2.31582,4.53337,1.49868,1.5054
3e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99982,0.00350109,0.00420756,0.00408592,4.99991,5.00783,4.20863,4.99971,4.99983,4.26536e-06,5.00003,0.000572163,-7.11342e-05,-7.87996e-05,5.0001,5.00081,0.0066417,1.93926e-05,8.9893e-06,4.99959,6.4571e-06,0.000422454,5.00001,4.9994,8.29437e-06,5.00001,4.99971,0.0202765,0.0101903,2.32802,4.59405,1.49603,1.50244
3.01e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99982,0.00303954,0.00373465,0.00362171,4.99982,5.00687,4.32065,4.99973,4.99984,7.69457e-07,5.00011,0.000543986,-8.09538e-05,-8.14061e-05,5.00001,5.00074,0.00549092,1.09814e-05,4.5471e-06,4.99973,5.10093e-06,0.00040292,5.00001,4.99939,5.72457e-06,5.00001,4.99971,0.0179357,0.00901851,2.33869,4.6486,1.4935,1.49963
3.02e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99982,0.00260569,0.00328404,0.00317793,4.99974,5.00596,4.41791,4.99974,4.99985,-1.46213e-06,5.00005,0.000515253,-9.77789e-05,-8.9098e-05,4.99991,5.00067,0.00492505,5.29857e-06,1.54614e-06,4.99983,4.06791e-06,0.00038488,5.0,4.9994,3.96832e-06,5.00001,4.99971,0.0157106,0.00790495,2.34795,4.69693,1.49109,1.49695
3.03e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99983,0.00222792,0.00287059,0.00277001,4.99974,5.00514,4.50211,4.99976,4.99986,-7.25202e-07,4.99996,0.0004897,-9.82402e-05,-8.83368e-05,4.9999,5.00059,0.00439443,1.92247e-06,-1.6542e-07,4.9999,3.62716e-06,0.000368472,5.0,4.99942,2.98935e-06,5.0,4.99972,0.0136562,0.00687502,2.35596,4.73938,1.48878,1.4944
3.04e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99985,0.00191033,0.00250057,0.00240394,4.99985,5.00442,4.57423,4.99978,4.99987,3.26501e-06,4.99987,0.000468112,-7.73531e-05,-7.6122e-05,5.0,5.00052,0.0037156,3.08708e-07,-8.68508e-07,4.99993,3.63321e-06,0.000353628,5.0,4.99946,2.59699e-06,5.0,4.99974,0.0117951,0.00593994,2.36282,4.77617,1.48657,1.49196
3.05e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99987,0.00163917,0.00216124,0.00207009,4.99995,5.00379,4.63614,4.9998,4.99988,6.55807e-06,4.99985,0.000449313,-5.28255e-05,-6.14668e-05,5.00011,5.00046,0.00306471,-3.74311e-07,-1.04369e-06,4.99996,3.99625e-06,0.000339643,4.99998,4.99951,2.75024e-06,4.99999,4.99976,0.0101273,0.00510092,2.3687,4.80809,1.48445,1.48963
3.06e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99989,0.00140949,0.00184861,0.00176575,4.99999,5.00325,4.68888,4.99982,4.99989,7.524e-06,4.99994,0.000432981,-3.1096e-05,-4.75402e-05,5.00017,5.0004,0.00247451,-6.11121e-07,-9.63086e-07,4.99998,4.64368e-06,0.000326197,4.99995,4.99956,3.38689e-06,4.99995,4.99978,0.00865784,0.00436111,2.37371,4.83551,1.48242,1.4874
3.07e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99991,0.00121464,0.00156815,0.00149725,4.99998,5.00279,4.73377,4.99985,4.9999,6.07209e-06,5.00009,0.000417911,-1.87967e-05,-3.81855e-05,5.00018,5.00034,0.00195965,-7.27807e-07,-8.44294e-07,5.0,5.20886e-06,0.000313483,4.99992,4.99961,4.0453e-06,4.99992,4.99981,0.00739394,0.00372439,2.37797,4.85895,1.48046,1.48527
