"time","displacement","force","displacement2","strain","sample#"
"10:15:51",-0.92313783962241200000,-73.37795131021760000000,0.12745308593292100000,1124.93910588421000000000,8083
"10:15:55",-0.94603085221100500000,-74.46564878041150000000,0.12846049769015800000,1152.97006268871000000000,8084
"10:15:59",-0.96953434513529400000,-75.62048806975320000000,0.13032033478044200000,1175.39599973865000000000,8085
"10:16:03",-0.99273259789173500000,-76.78875572292450000000,0.13210267865863100000,1181.00264673368000000000,8086
"10:16:07",-1.01623609081602000000,-78.01073683141390000000,0.13404000896101000000,1181.00264673368000000000,8087
"10:16:11",-1.03851862306892000000,-79.26628884947730000000,0.13589984605129400000,1192.21613601074000000000,8088
"10:16:15",-1.06110639548966000000,-80.54198341328490000000,0.13713973744481700000,1225.85816621948000000000,8089
"10:16:19",-1.08369416791041000000,-81.89824816006990000000,0.13876709489881500000,1237.07269711182000000000,8090
"10:16:23",-1.10750290100254000000,-83.23437036111060000000,0.14062693198909900000,1242.68006021736000000000,8091
"10:16:27",-1.13070115375898000000,-84.63763438129910000000,0.14256426229147800000,1253.89498175285000000000,8092
"10:16:31",-1.15359416634758000000,-86.04761258340230000000,0.14395914010919100000,1281.93342503688000000000,8093
"10:16:35",-1.17587669860047000000,-87.49787587699420000000,0.14550900435109500000,1298.75727238658000000000,8094
"10:16:39",-1.19938019152476000000,-88.98842426207470000000,0.14713636180509300000,1326.79832036653000000000,8095
"10:16:43",-1.22227320411336000000,-90.52597192055870000000,0.14899619889537700000,1315.58170580818000000000,8096
"10:16:47",-1.24516621670195000000,-92.08366212478710000000,0.15070104956147100000,1354.84099646575000000000,8097
"10:16:51",-1.26714350878700000000,-93.63463814710060000000,0.15240590022756500000,1377.27630968629000000000,8098
"10:16:55",-1.29095224187913000000,-95.27961271622100000000,0.15434323052994400000,1382.88530082604000000000,8099
"10:16:59",-1.31384525446773000000,-96.92458728534150000000,0.15558312192346700000,1422.15006267907000000000,8100
"10:17:03",-1.33765398755986000000,-98.62998949169490000000,0.15775293186213100000,1433.36915234515000000000,8101
"10:17:07",-1.35963127964491000000,-100.32867751613300000000,0.15953527574032000000,1461.41801659097000000000,8102
"10:17:11",-1.38282953240135000000,-102.12136408737900000000,0.16147260604269900000,1461.41801659097000000000,8103
"10:17:15",-1.40633302532564000000,-103.92076484053900000000,0.16294497707250800000,1495.07880371451000000000,8104
"10:17:19",-1.43014175841778000000,-105.76716486710300000000,0.16511478701117200000,1528.74193655533000000000,8105
"10:17:23",-1.45181381033498000000,-107.58670816600700000000,0.16689713088936100000,1551.18532841323000000000,8106
"10:17:27",-1.47409634258788000000,-109.45996492023000000000,0.16852448834336000000,1607.29837012854000000000,8107
"10:17:31",-1.49851555601571000000,-111.35336422019700000000,0.17022933900945300000,1596.07524036965000000000,8108
"10:17:35",-1.52049284810076000000,-113.28033442973800000000,0.17208917609973700000,1590.46377325965000000000,8109
"10:17:39",-1.54338586068935000000,-115.21401882119400000000,0.17410399961421200000,1652.19349651581000000000,8110
"10:17:43",-1.56780507411718000000,-117.18127412222400000000,0.17588634349240000000,1669.03024452482000000000,8111
"10:17:47",-1.59008760637008000000,-119.19552869665700000000,0.17836612627944600000,1708.31827172272000000000,8112
"10:17:51",-1.61298061895867000000,-121.14264145194300000000,0.18007097694554000000,1719.54400915136000000000,8113
"10:17:55",-1.63617887171512000000,-123.16361020829100000000,0.18193081403582400000,1747.60949381703000000000,8114
"10:17:59",-1.65876664413586000000,-125.20472151038300000000,0.18386814433820300000,1770.06305532133000000000,8115
"10:18:03",-1.68227013706015000000,-127.27268954013400000000,0.18588296785267700000,1798.13147453572000000000,8116
"10:18:07",-1.70577362998444000000,-129.33394338797100000000,0.18836275063972200000,1798.13147453572000000000,8117
"10:18:11",-1.72744568190164000000,-131.38176887197800000000,0.18975762845743500000,1848.65873808650000000000,8118
"10:18:15",-1.75217013549732000000,-133.46987944747400000000,0.19169495875981500000,1865.50233337599000000000,8119
"10:18:19",-1.77384218741452000000,-135.53784747722500000000,0.19394226191057400000,1910.42145785144000000000,8120
"10:18:23",-1.79704044017096000000,-137.63267223463600000000,0.19580209900085900000,1893.57629688277000000000,8121
"10:18:27",-1.82023869292740000000,-139.74092535587600000000,0.19781692251533300000,1949.72911699906000000000,8122
"10:18:31",-1.84191074484460000000,-141.84246429520100000000,0.19998673245399800000,1977.80797389285000000000,8123
"10:18:35",-1.86632995827244000000,-143.93057487069700000000,0.20153659669590100000,2011.50475564348000000000,8124
"10:18:39",-1.88983345119672000000,-146.02539962810700000000,0.20362891342247000000,2005.88846219995000000000,8125
"10:18:43",-1.91211598344962000000,-148.09336765785800000000,0.20572123014904000000,2056.43745276817000000000,8126
"10:18:47",-1.93470375587037000000,-150.15462150569500000000,0.20765856045141900000,2084.52250978904000000000,8127
"10:18:51",-1.95698628812326000000,-152.18901862587300000000,0.20928591790541800000,2129.46199554532000000000,8128
"10:18:55",-1.98079502121540000000,-154.23012992796500000000,0.21199818032874800000,2123.84433133235000000000,8129
"10:18:59",-2.00429851413969000000,-156.18395686516500000000,0.21393551063112800000,2140.69751983415000000000,8130
"10:19:03",-2.02627580622474000000,-158.16464053002400000000,0.21610532056979200000,2180.02391152497000000000,8131
"10:19:07",-2.05038977948472000000,-160.03118310233200000000,0.21827513050845700000,2213.73479384753000000000,8132
"10:19:11",-2.07328279207332000000,-161.77687040017500000000,0.22028995402293100000,2247.44802712587000000000,8133
"10:19:15",-2.09617580466191000000,-163.50241515227200000000,0.22214979111321500000,2258.68629402911000000000,8134
"10:19:19",-2.11876357708265000000,-165.06010535650100000000,0.22377714856721400000,2314.88154753369000000000,8135
"10:19:23",-2.14135134950340000000,-166.18137373626800000000,0.22563698565749800000,2286.78310429227000000000,8136
"10:19:27",-2.16485484242769000000,-167.59806612028600000000,0.22757431595987700000,2337.36147796683000000000,8137
"10:19:31",-2.18835833535198000000,-168.84018977452000000000,0.22904668698968500000,2359.84245367008000000000,8138
"10:19:35",-2.20941990693348000000,-169.86074542556600000000,0.23237889510977800000,2269.92482218609000000000,8139
"10:19:39",-2.23292339985777000000,-171.08944071597100000000,0.23423873220006200000,2247.44802712587000000000,8140
"10:19:43",-2.25581641244636000000,-172.12342473084600000000,0.23547862359358400000,2224.97227704419000000000,8141
"10:19:47",-2.27748846436356000000,-173.28497820210300000000,0.23710598104758300000,2264.30552545031000000000,8142
"10:19:51",-2.30129719745570000000,-174.24510621591600000000,0.23842336565320100000,2258.68629402911000000000,8143
"10:19:55",-2.32357972970860000000,-174.56067276591000000000,0.23989573668300900000,2258.68629402911000000000,8144
"10:19:59",-2.34616750212934000000,-175.32608950419500000000,0.24059317559186500000,2269.92482218609000000000,8145
"10:20:03",-2.37028147538933000000,-176.17207642545700000000,0.24237551947005400000,2241.82899164156000000000,8146
"10:20:07",-2.39225876747438000000,-176.82335207119000000000,0.24299546516681500000,2286.78310429227000000000,8147
"10:20:11",-2.41484653989512000000,-177.43434262543500000000,0.24392538371195700000,2382.32447471633000000000,8148
"10:20:15",-2.43712907214802000000,-177.70962408394100000000,0.24516527510548000000,3800.80240155499000000000,8149
"10:20:19",-2.46093780524016000000,-177.92447790521400000000,0.24594020722643200000,2550.97296023220000000000,8150
"10:20:23",-2.48352557766090000000,-178.21990190946400000000,0.24663764613528800000,1932.88258588203000000000,8151
"10:20:27",-2.50519762957810000000,-178.21990190946400000000,0.24702511219576400000,2230.59111660186000000000,8152
"10:20:31",-2.52870112250239000000,-178.71003718924300000000,0.24756756468043000000,2286.78310429227000000000,8153
"10:20:35",-2.55281509576238000000,-179.13974483178900000000,0.24756756468043000000,2258.68629402911000000000,8154
"10:20:39",-2.57479238784742000000,-179.53588156476000000000,0.24826500358928700000,2281.16361160593000000000,8155
"10:20:43",-2.59707492010032000000,-180.10658702751600000000,0.24919492213442900000,2196.87905883215000000000,8156
"10:20:47",-2.61844173184967000000,-180.06630193602800000000,0.24950489498281000000,2224.97227704419000000000,8157
"10:20:51",-2.62179937369600000000,-178.50861173179900000000,0.24934990855861900000,2146.31537991229000000000,8158
"10:20:55",-2.61966269252107000000,-177.80362263074800000000,0.24927241534652400000,2140.69751983415000000000,8159
"10:20:59",-2.62088365319246000000,-177.41420007969100000000,0.24927241534652400000,2157.55129594171000000000,8160
"10:21:03",-2.62179937369600000000,-177.14563280310000000000,0.24919492213442900000,2123.84433133235000000000,8161
"10:21:07",-2.62057841302461000000,-176.90392225416800000000,0.24896244249814300000,2118.22673240549000000000,8162
"10:21:11",-2.62179937369600000000,-176.74278188821300000000,0.24919492213442900000,2118.22673240549000000000,8163
"10:21:15",-2.62179937369600000000,-176.59506988608800000000,0.24934990855861900000,2112.60919876362000000000,8164
"10:21:19",-2.62118889336031000000,-176.41378697438900000000,0.24896244249814300000,2078.90536783312000000000,8165
"10:21:23",-2.62149413352815000000,-176.31978842758200000000,0.24919492213442900000,2073.28829115421000000000,8166
"10:21:27",-2.62118889336031000000,-176.18550478928600000000,0.24896244249814300000,2123.84433133235000000000,8167
"10:21:31",-2.62149413352815000000,-176.07807787865000000000,0.24903993571023900000,2078.90536783312000000000,8168
"10:21:35",-2.62057841302461000000,-175.96393678609900000000,0.24896244249814300000,2078.90536783312000000000,8169
"10:21:39",-2.62118889336031000000,-175.91693751269500000000,0.24919492213442900000,2084.52250978904000000000,8170
"10:59:00",-2.62759893688511000000,-171.41843562979500000000,0.24811001716509700000,1528.74193655533000000000,8171
"10:59:04",-2.62698845654942000000,-171.41172144788000000000,0.24834249680138200000,1539.96350214849000000000,8172
"10:59:08",-2.62790417705296000000,-171.40500726596500000000,0.24849748322557200000,1556.79633930028000000000,8173
"10:59:12",-2.62668321638157000000,-171.39829308405000000000,0.24826500358928700000,1495.07880371451000000000,8174
"10:59:16",-2.62698845654942000000,-171.39829308405000000000,0.24803252395300100000,1539.96350214849000000000,8175
"10:59:20",-2.62790417705296000000,-171.41172144788000000000,0.24818751037719200000,1545.57438269635000000000,8176
"10:59:24",-2.62759893688511000000,-171.40500726596500000000,0.24826500358928700000,1539.96350214849000000000,8177
"10:59:28",-2.62759893688511000000,-171.39829308405000000000,0.24803252395300100000,1517.52063162467000000000,8178
"10:59:32",-2.62729369671726000000,-171.39157890213600000000,0.24795503074090600000,1528.74193655533000000000,8179
"10:59:36",-2.62759893688511000000,-171.38486472022100000000,0.24826500358928700000,1517.52063162467000000000,8180
"10:59:40",-2.62759893688511000000,-171.37815053830600000000,0.24803252395300100000,1511.91007690494000000000,8181
"10:59:44",-2.62698845654942000000,-171.38486472022100000000,0.24834249680138200000,1517.52063162467000000000,8182
"10:59:48",-2.62698845654942000000,-171.38486472022100000000,0.24834249680138200000,1523.13125150776000000000,8183
"10:59:52",-2.62759893688511000000,-171.39829308405000000000,0.24811001716509700000,1523.13125150776000000000,8184
"10:59:56",-2.62759893688511000000,-171.37143635639100000000,0.24795503074090600000,1534.35268676853000000000,8185
"11:00:00",-2.62820941722081000000,-171.39829308405000000000,0.24834249680138200000,1506.29958734743000000000,8186
"11:00:04",-2.62790417705296000000,-171.38486472022100000000,0.24803252395300100000,1528.74193655533000000000,8187
"11:00:08",-2.62820941722081000000,-171.39829308405000000000,0.24811001716509700000,1500.68916295100000000000,8188
"11:00:12",-2.62729369671726000000,-171.35800799256200000000,0.24834249680138200000,1523.13125150776000000000,8189
"11:00:16",-2.62851465738866000000,-171.39157890213600000000,0.24803252395300100000,1528.74193655533000000000,8190
"11:00:20",-2.62668321638157000000,-171.34457962873200000000,0.24841999001347700000,1517.52063162467000000000,8191
"11:00:24",-2.61691553101044000000,-169.78688942450400000000,0.24741257825624000000,1517.52063162467000000000,8192
"11:00:28",-2.58700199456134000000,-165.90609227776300000000,0.24555274116595600000,1467.02798489160000000000,8193
"11:00:32",-2.55281509576238000000,-161.56201657890200000000,0.24253050589424400000,1410.93123358922000000000,8194
"11:00:36",-2.51649151578847000000,-157.33879615450700000000,0.23950827062253300000,1349.23233098956000000000,8195
"11:00:40",-2.48199937682166000000,-153.43785646202100000000,0.23640854213872600000,1321.18998052554000000000,8196
"11:00:44",-2.44872819852624000000,-149.55705931528000000000,0.23392875935168100000,1366.05852281060000000000,8197
"11:00:48",-2.41179413821664000000,-145.70311889619800000000,0.23106151050416000000,1326.79832036653000000000,8198
"11:00:52",-2.37791247958553000000,-141.89617775051900000000,0.22772930238406700000,1293.14925815243000000000,8199
"11:00:56",-2.34280986028302000000,-138.13623587824400000000,0.22470706711235600000,1265.11016372844000000000,8200
"11:01:00",-2.30801248114836000000,-134.37629400596900000000,0.22168483184064400000,1231.46539911290000000000,8201
"11:01:04",-2.27290986184585000000,-130.66335140709700000000,0.21866259656893300000,1186.60935882400000000000,8202
"11:01:08",-2.23902820321473000000,-126.98397971779900000000,0.21571785450931700000,1147.36374115311000000000,8203
"11:01:12",-2.20362034374437000000,-123.31803639233000000000,0.21254063281341500000,1119.33310977970000000000,8204
"11:01:16",-2.16943344494541000000,-119.69909234026500000000,0.20897594505703700000,1113.72717875800000000000,8205
